image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17,image18,image19,image20,bbox1,bbox2,bbox3,bbox4,bbox5,bbox6,bbox7,bbox8,bbox9,bbox10,bbox11,bbox12,bbox13,bbox14,bbox15,bbox16,bbox17,bbox18,bbox19,bbox20,bbox_type1,bbox_type2,bbox_type3,bbox_type4,bbox_type5,bbox_type6,bbox_type7,bbox_type8,bbox_type9,bbox_type10,bbox_type11,bbox_type12,bbox_type13,bbox_type14,bbox_type15,bbox_type16,bbox_type17,bbox_type18,bbox_type19,bbox_type20
https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_000283.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_005168.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_006364.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1178_2012_000027.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/604_2010_006878.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_004778.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_001189.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/748_2010_003640.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1729_2009_001906.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_001117.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/852_2010_000630.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1553_2010_004137.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_003825.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_001120.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/412_2011_006566.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/718_2009_004183.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1861_2009_004845.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_006491.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_000383.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_003624.jpg,"[[20, 342, 227, 42]]","[[59, 299, 147, 49]]","[[215.0, 138.0, 74.0, 140.0]]","[[366.875, 83.75, 24.375, 39.375]]","[[269.375, 77.5, 22.5, 46.25]]","[[56, 66, 164, 55]]","[[39, 116, 188, 335]]","[[14.0, 49.0, 318.0, 424.0]]","[[44, 130, 318, 277]]","[[142.0, 154.0, 231.0, 177.0]]","[[422.0, 174.0, 78.0, 101.0]]","[[190.0, 33.75, 160.0, 91.25]]","[[153.0, 209.0, 27.0, 36.0]]","[[225.0, 159.0, 109.0, 68.0]]","[[81.0, 54.0, 232.0, 446.0]]","[[75.625, 61.25, 394.375, 231.875]]","[[22, 356, 257, 21]]","[[150.0, 99.0, 90.0, 177.0]]","[[63.0, 16.0, 165.0, 115.0]]","[[50, 89, 178, 337]]",random,random,gt,human,human,random,random,gt,random,human,gt,human,gt,gt,gt,human,random,gt,gt,random
https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_002818.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1864_2008_000254.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_005115.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1387_2011_001928.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/282_2012_001545.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1802_2009_002571.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1097_2010_000014.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_001116.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_004461.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/705_2010_003818.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1741_2010_003822.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_000109.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_002653.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_000274.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/192_2012_000718.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/856_2009_002976.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1861_2009_004845.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/435_2012_000636.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/945_2010_001768.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/678_2008_000499.jpg,"[[62, 2, 79, 176]]","[[69.0, 289.0, 18.0, 67.0]]","[[32, 60, 132, 21]]","[[158.0, 46.0, 143.0, 112.0]]","[[24, 80, 312, 293]]","[[220.625, 25.0, 108.75, 161.25]]","[[139, 414, 80, 50]]","[[230, 26, 31, 341]]","[[20, 96, 327, 261]]","[[116, 426, 71, 31]]","[[93.0, 252.0, 169.0, 123.0]]","[[228.0, 90.0, 110.0, 275.0]]","[[26, 105, 337, 73]]","[[46.0, 257.0, 82.0, 76.0]]","[[114.375, 68.75, 235.0, 291.875]]","[[87.5, 85.0, 156.25, 137.5]]","[[21.0, 24.0, 419.0, 351.0]]","[[126.25, 31.875, 361.25, 296.875]]","[[64, 188, 109, 301]]","[[63, 41, 178, 371]]",random,gt,random,gt,random,human,random,random,random,random,gt,gt,random,gt,human,human,gt,human,random,random
https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2012_003651.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_001120.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_000755.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/401_2010_003665.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_003098.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_001525.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1085_2011_002301.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_003274.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_000400.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1744_2012_002191.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2012_001425.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1715_2008_004832.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_004059.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/945_2010_001768.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1352_2010_002406.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_001001.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1997_2010_003257.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2009_003352.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1907_2010_001317.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_003334.jpg,"[[13.75, 125.0, 63.125, 158.75]]","[[4, 40, 367, 267]]","[[65.0, 287.0, 204.0, 212.0]]","[[10, 58, 167, 371]]","[[1.0, 8.0, 417.0, 398.0]]","[[228.0, 171.0, 36.0, 149.0]]","[[4, 200, 125, 164]]","[[1.0, 113.0, 383.0, 102.0]]","[[216.0, 157.0, 81.0, 77.0]]","[[169.0, 96.0, 175.0, 279.0]]","[[32, 112, 308, 384]]","[[5, 1, 397, 296]]","[[132, 75, 167, 332]]","[[20.625, 156.875, 88.75, 59.375]]","[[68.75, 103.75, 386.25, 163.125]]","[[174, 84, 71, 402]]","[[180.0, 27.0, 258.0, 274.0]]","[[80, 202, 249, 289]]","[[150, 89, 53, 400]]","[[104.0, 42.5, 73.0, 141.0]]",human,random,human,random,gt,gt,random,gt,gt,gt,random,random,random,human,human,random,gt,random,random,human
https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1377_2010_005853.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1545_2010_000361.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_005141.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2012_000857.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_001001.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1761_2010_004730.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_005184.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_002578.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_000907.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2007_000033.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2009_000105.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_000383.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_005080.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/623_2008_007004.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/280_2011_007180.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_002526.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1321_2011_004866.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_003591.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_005141.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/500_2010_005848.jpg,"[[296.0, 168.0, 40.0, 212.0]]","[[190, 53, 81, 380]]","[[19, 111, 168, 349]]","[[28.75, 38.125, 234.375, 330.625]]","[[89.0, 197.0, 13.0, 17.0]]","[[37, 201, 213, 239]]","[[40.0, 119.375, 316.25, 129.375]]","[[128.125, 69.375, 311.875, 265.0]]","[[7, 186, 236, 53]]","[[325.0, 188.0, 86.0, 35.0]]","[[200.0, 117.5, 170.0, 70.625]]","[[152.0, 475.0, 22.0, 25.0]]","[[145.0, 273.0, 131.0, 124.0]]","[[164, 47, 212, 426]]","[[56.0, 5.0, 402.0, 327.0]]","[[4, 40, 243, 267]]","[[177.5, 218.75, 13.75, 33.75]]","[[84.48, 59.52, 98.56, 152.96]]","[[1.0, 144.0, 235.0, 231.0]]","[[230.0, 215.0, 244.0, 130.0]]",gt,random,random,human,gt,random,human,human,random,gt,human,gt,human,random,gt,random,human,human,gt,gt
https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_003242.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/204_2011_001915.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/721_2008_008554.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/267_2008_006000.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1170_2008_001989.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1779_2008_001894.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/718_2009_004183.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_002818.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/326_2011_003516.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_001203.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/737_2012_003830.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_004059.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_004461.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1564_2008_000489.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/280_2011_007180.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/803_2008_004339.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1715_2008_004832.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/212_2010_001435.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/694_2010_004877.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2009_001241.jpg,"[[72.0, 176.0, 321.0, 199.0]]","[[41, 23, 326, 423]]","[[325.0, 139.0, 122.0, 117.0]]","[[164, 217, 165, 182]]","[[54.72, 5.76, 356.15999999999997, 444.47999999999996]]","[[96.0, 137.0, 218.0, 238.0]]","[[84.0, 62.0, 392.0, 240.0]]","[[2.0, 221.0, 121.0, 74.0]]","[[166.875, 108.125, 98.125, 148.125]]","[[19, 10, 242, 459]]","[[243.0, 52.0, 130.0, 169.0]]","[[64.0, 127.0, 371.0, 197.0]]","[[264.375, 99.375, 117.5, 166.875]]","[[396.0, 208.0, 104.0, 167.0]]","[[46, 309, 194, 176]]","[[24, 111, 306, 38]]","[[74.304, 66.52799999999999, 196.992, 330.048]]","[[127, 174, 157, 110]]","[[96.875, 80.0, 74.375, 268.125]]","[[221.0, 237.0, 45.0, 53.0]]",gt,random,gt,random,human,gt,gt,gt,human,random,gt,gt,human,gt,random,random,human,random,human,gt
https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1242_2008_006082.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1802_2009_002571.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_005281.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_000500.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2009_000097.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/297_2010_005243.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/115_2008_004659.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1653_2008_000993.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2012_001545.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_006562.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_001011.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_005115.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2012_003176.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_007180.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/937_2011_005731.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_000024.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_002653.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1362_2008_005115.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1193_2011_007188.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1387_2011_001928.jpg,"[[209, 440, 78, 39]]","[[127.0, 1.0, 165.0, 188.0]]","[[36, 46, 191, 409]]","[[112, 86, 197, 342]]","[[50, 116, 135, 174]]","[[168, 288, 88, 46]]","[[150.0, 0.0, 172.0, 490.0]]","[[271.0, 67.0, 229.0, 266.0]]","[[41, 7, 29, 487]]","[[269.0, 48.0, 173.0, 287.0]]","[[-5.625, 50.625, 168.125, 137.5]]","[[63.0, 86.0, 416.0, 195.0]]","[[1.0, 106.0, 499.0, 269.0]]","[[41.25, 85.625, 126.25, 196.25]]","[[336.875, 26.875, 150.625, 263.125]]","[[108.0, 48.0, 157.0, 284.0]]","[[0, 139, 372, 281]]","[[19.0, 13.0, 285.0, 438.0]]","[[122.5, 166.875, 165.625, 90.0]]","[[315.625, 23.125, 183.75, 258.125]]",random,gt,random,random,random,random,human,gt,random,gt,human,gt,gt,human,human,gt,random,human,human,human
https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_001173.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1085_2011_002301.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1175_2012_000185.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/172_2010_005557.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_006842.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/747_2010_000810.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/450_2011_003280.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/269_2008_000400.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/244_2009_005217.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/604_2010_006878.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1306_2009_004718.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1169_2011_001972.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1653_2008_000993.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2007_003529.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_003825.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/721_2008_008554.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_000951.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_002818.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/326_2011_003516.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2007_008543.jpg,"[[2.0, 61.0, 476.0, 297.0]]","[[106.5, 21.5, 197.0, 218.5]]","[[163.0, 21.0, 121.0, 377.0]]","[[34.375, 54.375, 431.875, 201.25]]","[[267.0, 125.0, 52.0, 187.0]]","[[87.5, 143.75, 73.75, 71.25]]","[[11, 94, 306, 116]]","[[216.0, 157.0, 81.0, 77.0]]","[[53.125, 88.125, 412.5, 273.125]]","[[30, 179, 224, 298]]","[[1.0, 10.0, 499.0, 365.0]]","[[155, 112, 184, 352]]","[[13.125, 87.5, 256.25, 239.375]]","[[-48.125, 188.75, 440.0, 141.875]]","[[61, 139, 267, 285]]","[[1.0, 160.0, 161.0, 215.0]]","[[0, 199, 329, 22]]","[[19, 97, 297, 342]]","[[110, 125, 126, 329]]","[[81, 8, 258, 128]]",gt,human,human,human,gt,human,random,gt,human,random,gt,random,human,human,random,gt,random,random,random,random
https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1840_2011_006819.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_001120.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1949_2010_001337.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/628_2008_002359.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/244_2009_005217.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1242_2008_006082.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1726_2008_001792.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_001525.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_001009.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1381_2010_001584.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1624_2011_002917.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_006900.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/412_2011_006566.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/188_2011_001600.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_004627.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_003591.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_002653.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/718_2009_004183.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/378_2008_006058.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_000109.jpg,"[[21, 57, 289, 437]]","[[220.0, 140.625, 121.875, 91.25]]","[[221, 35, 163, 163]]","[[288.0, 59.0, 169.0, 127.0]]","[[36, 49, 229, 400]]","[[246.0, 317.0, 8.0, 22.0]]","[[179, 107, 119, 355]]","[[269.0, 238.0, 231.0, 137.0]]","[[119.0, 1.0, 262.0, 328.0]]","[[44, 436, 443, 23]]","[[60, 196, 223, 178]]","[[80.0, 296.0, 86.0, 67.0]]","[[197, 25, 278, 88]]","[[271.875, 165.625, 67.5, 87.5]]","[[113.75, 35.625, 263.75, 115.625]]","[[43.52, 80.0, 151.04, 171.52]]","[[267.0, 157.0, 68.0, 168.0]]","[[0, 4, 308, 407]]","[[180.625, 136.875, 65.0, 85.0]]","[[282.5, 65.0, 135.0, 121.25]]",random,human,random,gt,random,gt,random,gt,gt,random,random,human,random,human,human,human,gt,random,human,human
https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1802_2009_002571.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/798_2011_006605.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/143_2007_000559.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1086_2010_002771.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1586_2010_002130.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1092_2012_001170.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_008713.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1786_2008_003108.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_003030.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2009_004248.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1237_2011_006691.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1170_2008_001989.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1210_2010_001312.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_006178.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2012_000435.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/694_2010_004877.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1009_2010_005072.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1218_2008_008497.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1624_2011_002917.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/560_2010_001327.jpg,"[[273.125, 33.125, 225.625, 173.75]]","[[231.25, 119.375, 105.0, 163.125]]","[[36.0, 250.0, 43.0, 104.0]]","[[45.0, 1.0, 395.0, 251.0]]","[[393.0, 190.0, 58.0, 27.0]]","[[86, 356, 236, 76]]","[[184.0, 148.0, 107.0, 53.0]]","[[46, 2, 386, 133]]","[[1.0, 67.0, 499.0, 266.0]]","[[108.75, 27.5, 365.0, 297.5]]","[[98.125, 36.875, 28.75, 40.625]]","[[2, 80, 175, 206]]","[[39, 148, 65, 68]]","[[73.0, 20.0, 194.0, 391.0]]","[[52, 10, 269, 467]]","[[-1.875, 107.5, 191.875, 158.125]]","[[79, 44, 184, 35]]","[[42.0, 35.0, 382.0, 318.0]]","[[406.0, 114.0, 14.0, 31.0]]","[[32.0, 34.0, 468.0, 340.0]]",human,human,gt,gt,gt,random,gt,random,gt,human,human,random,random,gt,random,human,random,gt,gt,gt
https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/803_2008_004339.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_003334.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2008_002988.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_003098.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/204_2011_001915.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1086_2010_002771.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1362_2008_005115.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_003643.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1566_2010_006256.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_006984.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1009_2010_005072.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2012_001545.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/188_2011_001600.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2009_004872.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2010_001011.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/2011_004394.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1198_2009_000293.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/1646_2011_006173.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/71_2011_002517.jpg,https://detectionexp.s3.ca-central-1.amazonaws.com/JPEGImages/385_2010_000216.jpg,"[[1.0, 95.0, 227.0, 83.0]]","[[100.0, 56.0, 89.0, 156.0]]","[[214, 54, 65, 320]]","[[22.5, -0.625, 392.5, 362.5]]","[[155.0, 103.125, 86.25, 270.625]]","[[81, 368, 286, 86]]","[[107, 170, 365, 130]]","[[1, 45, 305, 175]]","[[11, 174, 150, 131]]","[[325.0, 94.0, 121.0, 281.0]]","[[184.0, 143.0, 108.0, 54.0]]","[[88.75, 193.125, 26.875, 34.375]]","[[278.125, 187.5, 83.75, 143.125]]","[[152, 309, 176, 158]]","[[164.0, 241.0, 165.0, 107.0]]","[[180, 0, 66, 498]]","[[78.0, 1.0, 309.0, 333.0]]","[[104.0, 3.0, 170.0, 391.0]]","[[225.0, 119.0, 164.0, 241.0]]","[[59.0, 71.0, 207.0, 103.0]]",gt,gt,random,human,human,random,random,random,random,gt,gt,human,human,random,gt,random,gt,gt,gt,gt
